text	label	proposed_label	confidence	final_label
Ironièno je da je , baš kao i na Stretch , distributer Boss Level takoðer odluèio napustiti film u kojem glumi Frenk Grilo što je automatski onemoguæio da se pojavi na kino platnu prema zakazanom vremenu .	0	1	0.12129001981589263	1
I dalje je živio s roditeljima , Mary ( Dorothy Atkinson ) i Arthurom ( Ian Puleston-Davies ) .	1			
Takoðer sam volio britanski naglasak i dijaloge koji su ovdje ispunjeni suhim humorom i ponekad duhovitim sarkazmom .	2			
Veza izmeðu Logan i Charles Xavier veæinu filma èini emocija .	1			
Zemlja : SAD	1			
Ono što èini War for the Planet of the Apes istinski se istièe je emocionalni naboj prièe .	2			
Meðutim , nakon što je razgovor otišao u krivu s milijarderom Carltonom Drakeom ( Riz Ahmed – Rogue One : A Star Wars Story , The Night Of miniseries i sl .	0			
I lijeènika Zia Rodriguez ( Daniella Pineda – The Detour TV serije ) .	1			
Èinilo se da se previše trudi biti poput Indiane Jonesa , ali mislim da je to propalo i nije bilo zaista uzbudljivo .	0	1	0.1655460944428042	0
Kreatori : Bryan Fuller , Alex Kurtzman	1			
Glavne uloge Glumci : Hannah Ware , Olivia Chenery , Stephen Campbell Moore , Dimitri Leonidas , Eric Kofi-Abrefa , Gregg Chillin , Zoe Tapper , Leanne Holder , Lois Chimimba , Amir El-Masry , Albano Jeronimo	1	0	0.3682673730370898	1
Imali smo ekranizaciju djeèije knjige ” The Jungle ’ s Book ” ove godine koja je osvojila kina , kritièare i publiku i ja sam je gledao do sredine nekako , nikad do kraja , pa nisam nikad ni napisao recenziju iako imam osjeæaj da sam vam ostao dužan .	1			
Pošto veæ dugo vremena ne gledam filmove u CAM ( TS ) kvaliteti i èekam dobri HD , tako sam èekao i Marsovca .	1			
B i H 15.02.2018	1			
IMDB OCJENA FILMA : 7.1 / 10	1			
Bliss je isprekidan trenucima koji istinski iskidaju srce , sa središnjim likom koji se oèito bori da shvati stvarnost i gdje na kraju stoji s obzirom na život koji ima i život koji može ili ne mora imati .	2	1	0.2016296531626978	2
Redatelj : James Bobin	1			
Da ne bih navodio sve posebice , èitava glumaèka ekipa je odradila posao na jednom vrlo zavidnom nivou zato treba pohvaliti ansambl koji se rijetko viða .	2			
Snažni kralj Harald ima ljutnju na Snježnu kraljicu , koja ga je mnogo povrijedila u prošlosti i želi se riješiti svih èarobnjaka .	0	1	0.11775177250596468	1
Pronaðite ih sve u ovoj uzbudljivoj akcijskoj thriller seriji .	1			
Žanr : Akcija , Misterija , Sci-Fi , Filmovi 2021	1			
Sve u svemu , ova tražena ekipa ‘ Mapeta ’ vjerovatno neæe biti zeleno svijetlo za neke potencijalne nastavke , ali neka i ostane tako , jer nekima dugo nakon ovog filma , vjerovatno neæe biti dobro .	0	1	0.13693715037514897	0
Serija je bacila svježe srodne nepoznanice , iako ima jedno veliko ime u obliku strašnog Guy Pearcea .	1			
A drugi stanari nisu baš druželjubivi , a bogami su i poprilièno gladni .	0	1	0.10803938797794033	1
Redatelj : Ridley Scott	1			
Dr . Freya Upton ( Agyness Deyn ) je glavni pomoænik prof . Collingwooda .	1	2	0.40702507162321233	1
Možda je poznat kao mladi Cyclops u X-Men : Apocalypse .	1			
Captive State	1			
Nakon što su se okupili , braæa i sestre koji su bili obuèeni za spašavanje svijeta moraju djelovati brzo , kao nakon ponovnog pojavljivanja Petog broja ( Aidan Gallagher ) koji ih upozorava da svijet ima samo osam dana da živi prije nego što doðe kraj .	1			
Ukoliko želite pogledati Ben Hura pogledajte originalnu verziju uz koju æe vam , vjerujte mi , tri i pol sata brzo proljetjeti .	1			
U kinima od :	1			
U prve ‘ Igre gladi ’ sam se neoèekivano zaljubio .	2	1	0.17433739411859983	2
Gledajuæi unazad , mislim da sam se jedanput nasmiješio dok sam promatrao Despicable Me 3 , a ne sjeæam se ni zasto .	0	1	0.11220002031111416	1
Trajanje Epizode : 1h	1			
Mumija ( 2017 )	1			
Pa ovaj film je stvarno nevjerojatan u smislu akcije .	1			
Zemlja : Canada | USA	1			
Ali mi takoðer živimo u multikulturnom društvu , stoga se razlièite podgrupe stanovništva vrijeðaju na razlièite naèine koji su jednako složeni .	1			
Hrvatska 04.05.2017 .	1			
Film se nije proslavio ni zaradom bogzna šta , jer je zaradio tek 52 miliona dolara i malo više na budžet od 25 , no nije to to , s obzirom da je ciljao vjerovatno na stotine miliona .	0			
I Dannyev stari prijatelj otac Chuck ( Mark Gagliardi ) .	1			
Wooow , ovaj film bio je nevjerojatan u smislu akcijske sekvence .	2	1	0.14202847298667312	2
Da li za napušene insane , da li za debile kojima je i prst pred oèima smiješan ili za djecu do desete godine života ?	0	1	0.16072615656547798	0
Kritike nisu nešto bile na strani filma , i uglavnom njegov dolazak u svijet filma , bioskopa i meðu publiku , bio je relativno zapažen ali glavni razlog tome je što su zapravo – dosadili .	0			
Datum izdavanja : 2 February 2018 ( USA )	1			
Terminator : Genisys ( 2015 )	1			
Odyssey te svakako može dosta toga nauèiti .	1			
I na IMDb.com ima rezultat od 8,8 / 10 .	1			
Glavne uloge : Emilia Clarke , Matt Smith , Arnold Schwarzenegger	1			
Može li Thomas i njegovi prijatelji spasiti Minho i ostatak imunološke djece iz Wickeda i uništiti organizaciju ?	1			
* Hm * .	1			
Polazeæi od osnivanja Rima , Romulus zapravo govori s gledišta tri razlièita lika , naime Yemosa , Wirosa i Ilije .	1	2	0.3195373398682177	1
Godina : 2017	1			
Aldis Hodge glumi Decourcy Ward , pomoænika okružnog tužitelja s kojim Rohr radi kako bi pokušao riješiti srž sluèaja .	1			
Glavne uloge : Giovanni Ribisi , Marin Ireland , Shane McRae	1			
Reditelj Innaritu je prošle godine osvojio Oskara za svoj film ‘ Birdman ’ , kao najbolji film godine , a ove godine , radeæi vrlo marljivo i predano , priremio je još jedan spektatkl ne odmièuæi od svog stilskog izražaja i naèina pripovjedanja .	2	1	0.0390209776363577	2
Rekao sam djevojci da su borbe poput onih koje æemo vidjeti u anime ili mangi , osim u live verziji .	1			
Ocjena 7 / 10	1			
Glavne ulogeTravis Fimmel , Ben Foster , Paula Patton	1			
Ocjena : 5 / 10	1			
Trailer Serije Blood & Treasure :	1			
Onda imamo Peter Gerety , Libe Barer i Shane McRae kao još tri èlana obitelji .	1			
A ovo je vrlo dobro usmjerena sezona .	2	1	0.22201682696823075	2
Nažalost , zapravo to nisam osjetio u mom kinu koji je imao sistem Auro 11.1 .	0			
Srbija 16.08.2018 .	1			
Meðutim , kad poène kopati po tom pitanju , Harries se nalazi u dubokoj državi koja ima svoju vlastitu ideju nacionalne sigurnosti , daleko od one koju priznaje australska vlada .	1			
Tu Sigu je morao tražiti naèine da joj vrati , ukljuèujuæi i hvatanje èudovišta za nagradu .	1			
Šta mu se dogodilo , pitam se ?	0	1	0.05989091531681238	1
Kao sto sam veæ rekao , ovo je 6ti film u Alien franšizi , pa se preporuèuje da najprije vidite Prometheus prije nego pogledate ovaj film , kako biste izbjegli poteškoèe u razumijevanju glavne price .	1			
Neobièna veza koja se stvori izmeðu malog djeèaka Hire i robota Baymaxa neobjašnjiva je stvar koja æe pomoæi njemu i grupi prijatelja da se odbrane od zlikovca .	1			
Pogledajmo je li nastavak lojalan svom prethodniku ili je se samo usredotoèio na akcijski pristup .	1			
Iako mislim da bi bilo još i više da je bilo više sukoba s normalnim ljudima , a ne samo s vješticama .	1			
Datum izlaska : 12 October 2016 ( France )	1			
Courtney ( Ellen Page – Juno , Inception itd . )	1			
Srbija 28.02.2019 .	1			
Torq : Scena kad galeb sleti i aktivira bombu .	0	1	0.07210235524893538	1
Zemlja : SAD	1			
Godina : 2017	1			
Žanr Akcija , Drama , SF , Triler	1			
Borbeni Anðeo	2	1	0.1697296191691686	1
koji je bio savršena osoba koja je pratila Blue , pametan i inteligentan Raptor .	2			
Kreator : Maggie Friedman	1			
Ima dosta boja , talijanske lokacije izgledaju prekrasno .	2	1	0.10051927513728558	2
Ne postoji ni grama emocionalne iskrenosti ili nijanse The Space Between Us , tako da je film uglavnom inertan .	0			
Izgledao je kao da sam pun nekih zamjerki , ali nisam , jednostavno sam pažljiv s detaljima , a film svejedno možete pogledati da ubijete radoznalost , da okusite neke novosti vezane za Mars i znanstvenu fantasiku i da shvatite da je ostalo još filmova izmeðu kojeg bi ste trebali izabrati favorita za Oskara ( pod favoritom mislim da navijate u veæini kategorija ali i za glavnu – Najbolji film ) i da još nije kraj .	1			
Film je u Americi zaradio nešto više od 13 miliona dolara na budžet od 16 miliona .	1			
Poslanice su više dosadne nego što su ikad bile ( osim Minions ) , a oni èak ne radi ništa u filmu .	0			
Zaradom je premašio sva oèekivanja jer je zaradio više od 572 miliona dolara na budžet od 108 .	2	1	0.1942686804956156	2
Svi ti prizori prirode , pejzaži , životinje , ljudi , vatra i snijeg , sve je predstavljeno besprijekorno .	2			
Nakon nekih malih istraga , Peter je otkrio da je oružje kupljeno od nekih razbojnika , od kojih se jedan zvao Shocker ( Bokeem Woodbine – Riddick , Fargo TV series 2nd season etc ) .	1			
Glavne uloge : Nicolas Cage , Lea Thompson , Chad Michael Murray	1			
Zemlja : SAD	1			
Datum izlaska : 18 .	1			
Jennifer Lawrence , kao što je bilo i za pretpostaviti , najviše je imala koristi od samog filma , ali najviše je i uložila , mada nije jedina koja je dobra od ‘ Igara Gladi ’ , dobra je i sama autorica knjige .	2			
Smatrao sam da sezona nije imala glavni završetak zbog èega bi bilo neugodno ako se ova serija ne obnovi ( dok sam ovo napisao , nije bilo jasnih naznaka hoæe li biti druge sezone ili ne ) .	0			
Bilo je i nekoliko smiješnih trenutaka koji su ukljuèivali Shurija , i iznenaðujuæe od M ’ Baku ( Winston Duke ) .	2			
Ali to nije bitno jer je , kao loša korporacija , pokazao vrlo dobru izvedbu .	2			
Meðutim , daleko je manje kohezivan i nema baš puno odgovora na nedostižnu radnju .	0			
Više nego što sam to uèinio nakon što ste gledali .	1			
Godina : 2017	1			
Još manje nego s Titanima , ali barem imamo neke vijesti iz projekta i znamo kakav æe tim biti .	1			
Redatelj : Steven Spielberg	1			
Ali nedavno sam dobio priliku gledati kompletnu prvu sezonu .	1			
The Circle	1			
Btw , ovaj film je režirao Travis Knight .	1			
Trailer Serije Plemena Europe :	1			
Ne znam puno o ovoj Netflixovoj originalnoj seriji , ali kad sam proèitao sinopsis , pomislio sam zašto ne bih pokušao .	1			
Do trenutka kada sam napisao ovaj post , druga se sezona trenutno igra , tako da bih za nekoliko tjedana mogao ih vidjeti ponovno .	1			
Glavne uloge Glumci : Katherine Heigl , Sarah Chalke , Ben Lawson , Beau Garrett , Yael Yurman	1	2	0.40759577814419096	1
Srbija 03.01.2019 .	1			
Kreator : Peter Moffat	1			
Max Steel je potpuno bezlièan film o superjunacima koji više izgleda kao loš TV film nego ozbiljan pokušaj .	0			
Ako volite serije s atributima koje sam ranije spomenuo , onda biste definitivno mogli isprobati i možda æete uživati kao i ja .	2			
Sasvim obièna djevojka iz grada , Jupiter , otkriva da je njena sudbina vezana za nepoznatu galaksiju koja kontroliše sve svjetove pa i naš kakav poznajemo i sada ga želi uništiti .	0	1	0.08921172274760665	1
"Voðen tom logikom da se ne treba susprezati od ovakvih ostvarenja , na ljeto poènem pratiti još jednu mini-seriju ; ponovo krimiæ , ovog puta radnja smještena u novo stoljeæe ."	1			
Redatelj : Steven Knight	1			
Datum izlaska : 14 .	1			
IMDB Ocjena Filma : 7.4 / 10	1			
Zatim gluma .	0	1	0.06255872293959155	1
Moja najdraža scena bila je u Cassijevoj školi .	1			
12 .	1			
Titlovan Trailer :	1			
Hrvatska 15.02.2018	1			
Zvuèni efekti bili su prilièno dobri s obzirom na to da sam ovaj film vidio u studiju koji se više usredotoèio na udobnost .	2	1	0.1746139150038113	2
Jedna stvar koju treba uzeti u obzir za one koji su vidjeli izvorni film je zaboraviti na to i samo uživati u ovom filmu .	1			
Ovaj je , sad za sad , zaradio preko 509 miliona dolara na budžet 170 miliona , no zarada æe još rasti s obzirom da je tek nedavno izašao u kina .	2	1	0.2951934736172447	2
Problem je u tome sto roditeljima vjerojatno da æe biti dosadno , ako se odluèite za gledanju u kinu .	0			
Godina : 2018	1			
Ocjena : 6 / 10	1			
Ne samo da je to složeno uobièajeno s puno preokreta i okreta , nego je to i putovanje identiteta i života .	2			
Egzebicija i penjanje na najveæi vrh na svijetu Everest , kreæe po zlu kada ekipu zadesi strašna oluja i nevrijeme .	0			
Glavne uloge Glumci : Taylor Hickson , Amalia Holm , Demetria McKinney , Jessica Sutton , Ashley Nicole Williams , Lyne Renée .	1			
Nakon više od sedam dana i odluke da prodam blog , odluèio sam se u meðuvremenu pogledati jedan novi film èisto kako bih osvježio blog ali i dao vam znanja kakav je ‘ Èudesni Spider-Man 2 ’ .	1			
Kao Spider-Man Peter je uvijek pokušavao pomoæi ljudima dok se morao nositi sa svojim srednjoškolskim obavezama .	1			
Jurassic World	1			
Najava filma mi je izgledala primamljivo , ocjene solidne i to su uglavnom dva glavna sastojka za odluku i ono da prelomim , hoæu li odgledati film ili na koncu , ipak ne .	1			
Sada , povedena hrabrošæu , želi spasiti Peetu i podstaknuti naciju na pobunu protiv Kapitola .	1			
Serija je tako posveæena svoj jedinstvenom stilu , koji je stvorio svoje režije , skripte , velike cenzurirane psovke , pa cak i njegovu autentiènost .	0	1	0.1402420022302924	1
Ali stvari ne bi bile tako lake kao što bi se èinilo .	0			
Sigurno jedan od razloga zbog toga je što ova serija donosi mnogo kontroverzi , budi temu nacionalizma u Evropi , i postavlja pitanja koja leže duboku u nama .	1			
Osjeæa se kao da se na ovom svijetu dogaða i nešto drugo , a ja to želim otkriti .	1			
Ima i par kratkometražnih iza sebe .	1			
Na Metacritic ima ocjenu 64 / 100 .	1			
Zainteresirani za cyberpunk vrstu filma s velikim vizualnim efektima i predivnim borbama sigurno bi bili zadovoljni s tim .	2	1	0.18210415240625966	1
Da sam film pustio bratu koji inaèe studira psihologiju / pedagogiju , on bi ovaj studij karaktera možda uzeo zdravo za gotovo i rekao bi mi kako je ovo jedan izvrstan film , tako da možete na ovom jednostavnom primjeru shvatiti koja je publika ovog filma .	1	0	0.2789908097388547	1
Njihova je veza draga i ljupka , pružajuæi publici promišljenu vezu izmeðu nje i jednog od biæa u središtu filma .	2	1	0.18280378848916115	2
Trebao nam je pružiti neku vrstu lijepe avanture s vrlo velikim morskim psom koji lovi ljude .	2			
Rhodes je jednako dobar i osjetljiv u svojoj ulozi Toma , a posebnu pažnju posveæuje Malkovichovu neumoljivom samodovoljnom Douglasu .	2			
Za njega , ona je stvorila originalan naèin predstavljanja podvodne ljepote , koja sada ima sljedbenika u brojnim programima žanra .	2	1	0.24890759099637566	1
Mislim da je CGI uèinjen prilièno dobro ( s obzirom na to da je imao proraèun od 100 milijuna dolara , pretpostavio sam da to ne bi trebalo iznenaditi ) .	2			
Uz najboljeg prijatelja Maxa , Shadow koristi svoje moæi za dobro , tragajuæi za raznim kriminalnim šefovima koji su bježali policiji , pomažuæi njegovim bliskim prijateljima i obitelji , kao i onima koji traže njegovu pomoæ kako bi grad bio sigurnije mjesto .	2			
Ali kombiniran je s prilièno puno dijaloga zbog kojih je tempo filma u pojedinim dijelovima bio malo usporen .	0			
Duo se udružuje kako bi riješio zajednièke dileme u nadi da æe ispraviti svijet u kojemu su prisiljeni postojati , kao i proæi introspekciju na pitanja osobnosti koja bi mogla biti korijen problema .	1			
Glavne uloge : David Morse , Joe Anderson , Gillian Alexy	1			
Èini se da film ne može ni odluèiti o svom žanru .	0	1	0.1406712252663359	0
Smjer je ovdje brz i zabavan , ali nikad do gubitka ozbiljnosti / napetosti , jer kada scena mora biti ozbiljna i neizvjesna , to je jeb … .	1	2	0.3112286395932771	2
Datum izlaska : 22.11.2017 ( svjetska premijera )	1			
Tretmani ne funkcionišu kako se oèekuje .	0	1	0.1217095942860086	0
I dalje je terorizirao grad otimajuæi mlade djevojke .	0	1	0.11444430568008851	1
Žanr : Akcija , Avantura , SF	1			
Nakon što ga traèki kralj unajmi s ciljem da pretvori njegovu vojsku u najopasnije i najokrutnije ratnike na svijetu , Herkul æe se suoèiti i s molbom kraljeve kæeri da ubije njenog oca i okonèa njegovu tiransku vlast .	0	1	0.05522484107477158	1
koji su preuzeli identitet Waspa takoðer pokušavaju otkriti je li njihova supruga i majka Janet još uvijek živi u kvantnom podruèju .	1			
Ako se dobro sjeæam , Cinemax kablovska TV obièno se usredotoèuje na akciju , ali ovaj put je stvorio zanimljivo nadnaravnu horor seriju .	2	1	0.1527348869892259	2
Film je zaradio više od 32 miliona dolara na bužet od 12 .	2	1	0.21609193781109967	1
Gotovo se osjeæalo kao da pokušavaju prilagoditi svih sedam knjiga u jednom filmu .	0	1	0.09687465009655873	0
Tu je i pokušaj stvaranja emocionalne napetosti izmeðu njega i njegovog brata , koji takoðer igra Carell .	1			
Manje veseli su brojni manji likovi koji nisu dobili nikakav oblik suptilnosti i mogu biti samo iritantni , jednodimenzionalni štreberi , koji su ponekad malo iscrpljujuæi .	0	1	0.14306768491340638	0
Trajanje filma : 01 : 55 : 00	1			
Je li mogao uvjeriti Tonyja o njegovoj sposobnosti i postati èlanom Avengersa ?	1			
Torq : Film je prièa o izmišljenom svijetu u kojem znanstvenik pokušava ukrasti djeci snove i na taj naèin sprijeèiti svoje starenje .	1			
‘ The Giver ’ je u suštini isprazna prièa koja se bavi i previše iscrpljenom prièom i koja uzalud troši i naše vrijeme i talente glavnih glumaca .	0	1	0.16451198854341662	0
Na Metacriticu ima rezultat od 72 / 100 .	1			
Datum izlaska : 6 May 2016 ( USA )	1			
Nekoliko epizoda takoðer sadrži tu stavku koja se okreæe u kutu od 360 stupnjeva , što seriji pruža jedinstven stilski dojam .	2			
Ocjena na IMDb.com mu je 6,4 / 10 a na Tomatoesima malih 19% .	1			
Èinilo se da je izgubio sjeæanje i nije se mogao ni sjetiti vlastitog imena .	1			
Teaser trailer veæ je sadržavao reference na neke od ikonièkih djela Stephena Kinga kao što su It , The Shining , The Shawshank Redemption i Salem ’ s Lot , pa se nadamo da æe Castle Rock uspjeti izvesti pravdu .	1			
Dakle , odvjetnik ( Aldis Hodge ) mora se udružiti s korumpiranim agentom FBI-a ( Kevin Bacon ) kako bi pokušao riješiti ovaj sluèaj , što ih vodi niz spiralu koja nam pokazuje dubinu Bostonove korupcije .	0	1	0.1066483659830866	1
Datum izlaska : 21 .	1			
Baš simpatièno .	2	1	0.10474400761797349	2
Likovi su uglavnom bili simpatièni .	2	1	0.14690369207591125	2
Potjera , špijuni , zavjere i sve što leži ispod tog .	1			
Kreatori poprilièno neuspješnog animiranog filma “ Oops !	0	1	0.07971007554051801	1
Forest Whitaker je izvrstan izbor za ulogu zloglasnog mafijaškog šefa , Godfather of Harlem mogao bi se pretvoriti u ozbiljnu dramu .	2			
Stvari su se dodatno komplikovale kada je Seg sudjelovao u pobunjenièkoj skupini zvanoj Black Zero , pogotovo s jednim od njihovih tajanstvenih voða ( Colin Salmon ) .	0	1	0.1326132382566193	1
Koliko æe dugo raditi kako bi postigao svoje ciljeve ?	1			
Izgleda da mu nije pomoglo ni to što je Sharlto Copley jedan od glavnih glumaca , a Tim Bekmambetov jedan od producenata .	1			
Njegov nastup u filmu je velik , kao što smo mogli vidjeti da je Logan vise manjkav èovjek od moænog mutanta .	1			
Kako ne bi bila samo borba dva glavna aktera tu se pojavljuju i dva upeèatljiva ženska lika koja u seriji možda i imaju sporednu ulogu al u životima naša dva glavna aktera i ne .	1			
Jedna stvar koja mi se svidja o seriji bila je performansa Krystena Rittera , za koju mislim da je stvarno bila uoèljiva na portretu takve mraène , snažne spolja , ali ranjive od unutrašnjeg karaktera .	2			
Po meni jedini dobar dio serije je upravo ta misterija .	2	1	0.2236389541505562	2
Muzika je zanimljiva jer postoje neke pjesme koje su posebno sastavljene za njega Martin Slattery i Antony Genn .	2	1	0.1525945383149673	2
A drugi lik koji je bio zabavan bio je glavni negativac gospodin Mr .	2			
Žanr : Avantura , Komedija , Kriminalistièki	1			
Kreator : Michael Rauch	1			
To je bio i dio gdje je film postao vrlo smiješan jer bi nas zabavljao vrlo divovski Ant-man ( ili Scott ) .	1			
B i H 15.06.2017 .	1			
) .	1			
Koliko je Westworld zahvalan materijal za remake svjedoèi i to što je HBO-va verzija koristi Crichtonov originalni scenarij na naèin da ga gotovo u nijednom detalju ne mijenja .	1			
Prva stvar koja vam padne na pamet kada vam netko sada spomene ovaj film	1			
Lightning McQueen ( Owen Wilson – Zoolander 2 , No Escape ) se vratio , ovaj put se mora dokazati protiv novaka koji su brži , moderniji i treniraju se tehnologijom , gdje su brojevi važni .	1			
Je li se isplatilo èekati ?	1			
Ekipa animiranog filma izgleda nije se mogla odluèiti jesu li za emotivnu prièu ili urnebesnu komediju .	1			
Mislim da je kao i veæina Netflixovih serija , koje mislim da nisu loše , ali samo to , prenapuhana .	0	2	0.2614484301599046	0
Datum izlaska : 25 September 2014 ( Germany )	1			
Uživao sam u Elbinu kao liku Rolanda .	2	1	0.20349173906203613	2
Nadam se da gore navedena kratka prièa nije otkrila previše informacija jer bih volio da uživate u iznenaðenjima i zabavnom iskustvu koje sam imao dok sam gledao seriju .	2	1	0.19095437170758467	2
Godina 2015	1			
Glavne uloge : Tom Hardy , Michelle Williams , Woody Harrelson , Tom Holland , Jenny Slate , Riz Ahmed , Scott Haze , Marcella Bragio .	1			
Barem veæini .	1			
Ovaj film postavljen je u vrlo dalekoj buduænosti ( 28 . stoljeæe ) gdje je Alpha , svemirska stanica koja je nastala iz zemlje , izrasla na mjestu gdje su mnoge vrste diljem galaksije živjele u harmoniji veæ dugi niz godina .	1			
Sam kraj , iako oèekivan , na neki naèin ne donosi tugu veæ neku vrstu smirene sjete .	1			
Trajanje filma : 01 : 51 : 00	1			
Najveæe iznenaðenje u posljednjoj treæini filma bilo je dobro i takoðer lijepo iznenaðenje prije kraja .	2	1	0.12536725119451475	2
Pronaðite ih sve u ovom vrlo zanimljivom antiheroj akcijskom filmu .	1			
Iznad sam rekao da sam se zaintrigirao nakon što sam pogledao najavu koja kao da je obeæavala malo znanstvene fantastike i akcije .	2			
Prijatno iznenaðenje , moram priznati , s obzirom da se nikad nisam toliko zadavao u samu historiju lika Peabodya koja doseže još do 50 - ih i 60 - ih godina prošlog stoljeæa .	2			
Mojeg i ne toliko , jer sam ja bio djeèak koji je rastao uz ” Tom i Džerija ” , ” Looney Toons ” , zatim crtiæe s ” Cartoon Networka ” i ” Boomeranga ” te ” Disney ” - eve i ” Pixarove ” likove .	1			
Ovog puta , kao dodana je veæa doza ozbiljnosti jer meteor juri ka njima , i tiše tiše , nemamo vremena obazirati se na to što je ovo peti dio , što je veæini ova franšiza dojadila i što je vremenom izblijedila , tiše , tiše , de da gledamo šta æe biti .	0	1	0.03161637154916817	0
Glavne uloge : George Clooney , Britt Robertson , Judy Greer	1			
Pa da u konaènici sumiramo : “ Deadpool ” je u inovacija u svemu koja nam treba ovih dana u moru blijedih kopija i dopast æe vam se jer je zabavan , pozitivan , smiješan i otkaèen te æe kao takav otiæi u historiju superherojskih filmova koji su napravili revoluciju , ali po onoj pravoj kvaliteti koja se analizira i studira , ovo nije ni “ Kum ” ni “ Iskupljenje u Šošanku ” .	2	1	1,84E-75	2
U kinima od : 19 May 2017 ( USA )	1			
Producenti su svjesni da æe se djeca smijati kad neko padne , tako da je ovaj film pun plitkog i fizièkog humora .	1			
Tom Cruise je dokazao još jednom da nije izlapio kao akciona zvijezda i u ovom filmu odradio je još jedan fenomenalan posao , još uzmete li u obzir da za skoro sve vratolomije i akcione momente radi bez svog kaskadera .	2			
Kratka linija prièe	1			
Uvijek , prije nego što pogledam film , obièno dobijem informacije o tome kako je primljen , što kod publike , što kod kritièara .	1			
Odakle su došli ?	1			
Godina 2014	1			
I tako je i izašao u kina u sjeni veæih i ozbiljnijih blockubustera .	0	1	0.15592624864050236	1
Zemlja : SAD	1			
Ono što mi je isto tako zasmetalo je nevjerovatno loša gluma .	0			
Putovanja kroz vrijeme , vremeplovi i vremenske mašine je nešto što me uvijek zaista zanimalo a opet , s druge strane , rijetko ko je uspijevao te stvari prenijeti na film na idealan i realistièan naèin .	1			
Žanr : Akcija , Krimi , Drama , Recenzije Serija	1			
Da bi to uèinio , javio se za pomoæ kradljivca umjetnosti Lexi Vaziri ( Sofia Pernas – Hrabra TV serija itd . )	1			
Zlato ( 2016 )	1			
"U tom smislu , Godzilla protiv Konga ne nudi puno vremena za njih na osobnoj razini ; oni su više vozila koja voze radnju naprijed nego bilo što drugo i , osim nekolicine njih poput Jia , teško je uložiti u bilo koju od njihovih pojedinaènih prièa ili likova ."	1			
Cassie bi takoðer koristila svoju jedinstvenu sposobnost da pomogne svom ocu detektivu Tomu Hackettu ( Paul Blackthorne – Lagaan , Arrow TV serija itd . ) .	2	1	0.247492867220536	1
Temelj mnogih problema s kojima se naši likovi susreæu u ovoj drami je stalni motiv trèanja .	1			
